brand_name,product_name,product_type,post_type,platform,region,gender,age_range,social_media_mentions,review_rating,price_usd,availability_status,followers,likes,comments,shares,product_category,post_day_of_week,is_weekend,engagement_rate,comment_to_like_ratio,share_to_like_ratio,is_luxury_handbag,high_price_tier,premium_engagement,is_western_market,young_demographic,high_rating,mentions_per_follower
Gucci,Gucci Chic Belt,Belt,Video,YouTube,Asia,Female,45-54,303.0,1.4,337.44,Out of Stock,1450153.0,692739.0,39956.0,12126.0,Eyewear,Wednesday,0,51.361545988595694,0.057678205387302596,0.017504402806247654,0,0,1,0,0,0,208.94347010280984
Gucci,Gucci Vintage Watch,Watch,Reel,YouTube,Europe,Male,45-54,1180.0,3.6,1924.16,In Stock,9568431.0,905094.0,32578.0,10367.0,Footwear,Saturday,1,9.907988049451367,0.03599401167833211,0.011454046260337313,0,0,0,1,0,0,123.3222040269716
Louis Vuitton,Louis Vuitton Bold Handbag,Handbag,Live,Twitter,Europe,Female,45-54,256.0,3.5,3982.23,Out of Stock,4666850.0,531490.0,26052.0,2421.0,Apparel,Saturday,1,11.99873576395213,0.049016822486175685,0.004555110058307666,1,1,0,1,0,0,54.85498783976344
Louis Vuitton,Louis Vuitton Modern Perfume,Perfume,Live,Facebook,Asia,Non-binary,18-24,4179.0,3.2,1427.39,Out of Stock,4627499.0,818433.0,30400.0,8715.0,Eyewear,Tuesday,0,18.531565322866626,0.03714410691637933,0.010648384597902825,0,0,0,0,1,0,903.0796116865719
Louis Vuitton,Louis Vuitton Classic Handbag,Handbag,Reel,YouTube,Europe,Male,45-54,3148.0,4.7,1431.42,Pre-order,9456832.0,93747.0,7070.0,18669.0,Luxury Accessories,Friday,0,1.2634886608961649,0.07541494218543329,0.19914024832529761,1,0,0,1,0,1,332.88103246414863
Louis Vuitton,Louis Vuitton Bold Shoes,Shoes,Reel,TikTok,Asia,Non-binary,55+,4535.0,3.1,4590.58,Out of Stock,1515571.0,652113.0,39365.0,4090.0,Fragrances,Thursday,0,45.89478157077432,0.06036521221749572,0.006271909512753905,0,1,1,0,0,0,2992.2715596959824
Gucci,Gucci Modern Perfume,Perfume,Reel,Facebook,South America,Female,55+,25.0,4.8,4103.88,Out of Stock,1693673.0,915401.0,18579.0,9865.0,Apparel,Wednesday,0,55.72769950279658,0.020296001101155557,0.010776686089827202,0,1,1,0,0,1,14.760818646810808
Gucci,Gucci Classic Belt,Belt,Story,TikTok,Middle East,Female,35-44,3299.0,1.0,4196.99,Out of Stock,1618945.0,31790.0,21281.0,4547.0,Eyewear,Tuesday,0,3.558984400334786,0.669403290239376,0.1430279009782643,0,1,0,0,0,0,2037.746804245975
Gucci,Gucci Chic Watch,Watch,Reel,TikTok,North America,Female,35-44,4711.0,1.5,4636.76,Pre-order,4374061.0,926776.0,2071.0,14045.0,Apparel,Saturday,1,21.55644377158892,0.002234626021146403,0.01515467043312469,0,1,0,1,0,0,1077.031161659611
Louis Vuitton,Louis Vuitton Elegant Perfume,Perfume,Video,Facebook,Asia,Male,55+,1745.0,3.0,4857.2,In Stock,3093835.0,258626.0,35007.0,19402.0,Apparel,Sunday,1,10.11802504012011,0.1353570972868262,0.07501923619730345,0,1,0,0,0,0,564.0249075984983
Gucci,Gucci Classic Handbag,Handbag,Story,Instagram,Middle East,Female,25-34,3515.0,2.6,1083.15,Out of Stock,3697506.0,913838.0,24169.0,2084.0,Footwear,Thursday,0,25.42500269100307,0.026447765963151057,0.0022804892327860818,1,0,0,0,1,0,950.6407832739148
Louis Vuitton,Louis Vuitton Elegant Handbag,Handbag,Image,YouTube,North America,Non-binary,25-34,1369.0,2.6,2944.41,Pre-order,1014391.0,644354.0,26810.0,13299.0,Fragrances,Saturday,1,67.47526348321308,0.04160749897184006,0.02063924389505785,1,0,1,1,1,0,1349.578219838307
Gucci,Gucci Bold Belt,Belt,Live,Instagram,South America,Female,35-44,2179.0,3.1,940.95,In Stock,7350730.0,499936.0,13482.0,7315.0,Luxury Accessories,Sunday,1,7.084099130290461,0.02696739789213441,0.014631843612295149,0,0,0,0,0,0,296.43314337487567
Louis Vuitton,Louis Vuitton Classic Sunglasses,Sunglasses,Video,YouTube,North America,Non-binary,45-54,2909.0,3.4,1772.4,In Stock,8257089.0,644729.0,47578.0,10471.0,Footwear,Sunday,1,8.511207763413958,0.07379523211266732,0.01624090704636049,0,0,0,1,0,0,352.3033359577449
Louis Vuitton,Louis Vuitton Classic Belt,Belt,Story,Instagram,North America,Non-binary,35-44,1037.0,2.5,3105.0,Out of Stock,3373332.0,861020.0,27093.0,9751.0,Footwear,Thursday,0,26.616532259498914,0.03146613148808217,0.011324927034299976,0,0,0,1,0,0,307.4111887000746
Gucci,Gucci Vintage Watch,Watch,Reel,YouTube,Asia,Male,55+,2919.0,2.7,3512.17,Pre-order,9109940.0,32041.0,28285.0,3586.0,Fragrances,Tuesday,0,0.7015633472887857,0.8827476437176206,0.11191561076087635,0,0,0,0,0,0,320.41923437475987
Louis Vuitton,Louis Vuitton Classic Perfume,Perfume,Live,Facebook,Europe,Male,55+,2698.0,1.8,908.7,Out of Stock,5648364.0,597093.0,22841.0,6096.0,Footwear,Tuesday,0,11.08338626901524,0.0382536083095794,0.010209447758644368,0,0,0,1,0,0,477.66043406550995
Gucci,Gucci Classic Perfume,Perfume,Video,YouTube,Middle East,Female,35-44,1337.0,1.1,533.74,Out of Stock,8337951.0,16151.0,32209.0,13605.0,Eyewear,Sunday,1,0.7431681956394323,1.9941183754333829,0.8423105497771174,0,0,0,0,0,0,160.351146222855
Louis Vuitton,Louis Vuitton Classic Handbag,Handbag,Reel,Facebook,Asia,Female,25-34,3862.0,1.8,3026.54,Out of Stock,4571107.0,592493.0,27959.0,6110.0,Fragrances,Thursday,0,13.707007952340646,0.04718866351389212,0.010312340715686572,1,0,0,0,1,0,844.8719314599288
Louis Vuitton,Louis Vuitton Elegant Belt,Belt,Image,YouTube,North America,Non-binary,55+,846.0,1.7,1671.97,Out of Stock,6540808.0,128901.0,17017.0,5228.0,Eyewear,Monday,0,2.3108154221924875,0.13201501916184388,0.04055794324370452,0,0,0,1,0,0,129.34181831969383
Louis Vuitton,Louis Vuitton Vintage Sunglasses,Sunglasses,Image,Instagram,Middle East,Female,25-34,2550.0,2.3,4780.01,Pre-order,9851277.0,837852.0,46922.0,14910.0,Footwear,Sunday,1,9.132663714562081,0.056002663951791064,0.017795484410749858,0,1,0,0,1,0,258.8496902482795
Gucci,Gucci Vintage Perfume,Perfume,Image,Instagram,Europe,Non-binary,25-34,4801.0,4.1,3605.58,In Stock,5070327.0,841283.0,30040.0,4528.0,Apparel,Wednesday,0,17.274053527514102,0.03570732356730902,0.0053822490383746745,0,0,0,1,1,1,946.8817297188131
